Id,Industry Name,Cluster,Cluster Lat,Cluster Long,Pollution Severity,AIR,WATER,LAND,CEPI
0,Aarvee Denims & Exports Ltd,Ahmedabad,23.018652,72.597713,4.0,49.75,60.5,46.0,69.54
1,Abhishek Corporation Ltd,Akola,20.691796,77.055667,2.0,15.66,35.92,23.75,38.31
2,Acil Cotton Inds Ltd,Vashind,19.406203,73.266389,3.0,40.37,26.35,14.3,42.62
3,Acknit Knitting Ltd,Tiljala,22.528826,88.382243,2.0,22.1,36.32,28.01,40.26
4,Acrow India Ltd.,Jammu,25.310221,82.999163,3.0,44.0,47.0,42.5,56.91
5,Addi Industries Ltd,Hathras,27.599385,78.054448,3.0,34.46,45.24,19.18,48.86
6,Alchemist Corporation Ltd,Barjora,23.426368,87.283027,3.0,16.59,37.74,34.62,41.31
7,Alka India Ltd,Metiaburuj Ward No. 138 to 141,28.565441,77.337149,2.0,33.46,29.08,23.28,37.97
8,Alok Industries Limited,Metiaburuj Ward No. 138 to 141,28.565441,77.337149,4.0,57.0,55.0,49.5,68.71
9,Alpha Graphic India Ltd,Kirtinagar & Tilak Nagar,30.218625,78.760686,2.0,21.96,33.41,9.62,34.82
10,Alps Industries Ltd,Moradabad,28.832873,78.765129,2.0,28.2,34.12,8.98,35.79
11,Ambika Cotton Mills Ltd,Virudhunagar,9.591635,77.962225,3.0,24.48,50.58,25.56,53.68
12,Amit International Ltd.,Tiljala,22.528826,88.382243,3.0,21.77,48.64,32.81,52.31
13,Anjani Synthetics Ltd,Ahmedabad,23.018652,72.597713,3.0,18.33,42.19,14.21,43.7
14,APM Industries Ltd,Mahuwa,25.843251,87.605042,4.0,49.75,60.5,46.0,69.54
15,Arrow Textiles Ltd,Vashind,19.406203,73.266389,3.0,38.17,29.71,26.4,43.02
16,Arunoday Mills Ltd.,Alang,21.415163,72.16768,3.0,19.36,54.34,22.42,56.32
17,Arvind Mills Limited,Ahmedabad,23.018652,72.597713,2.0,17.15,29.98,24.83,32.96
18,Arvind Products Ltd,Adityapur,13.27106,76.71898,3.0,40.83,28.13,31.07,46.01
19,Asahi Fibres Ltd.,Ahmedabad,23.018652,72.597713,4.0,49.75,60.5,46.0,69.54
20,Ashima Ltd,Kanpur,26.4551,80.350377,3.0,40.81,42.3,15.97,46.06
21,Ashnoor Textile Mills Ltd,Kartarpur,31.433937,75.492146,4.0,56.88,57.5,60.5,73.42
22,Aunde Faze Three Ltd,Tarapur,19.859874,72.682362,3.0,30.85,41.04,16.79,44.09
23,AV Cottex Ltd,Nagari,17.489008,78.607784,3.0,16.58,39.62,37.07,43.34
24,Aviva Industries Ltd,Kanpur,26.4551,80.350377,4.0,51.75,79.5,54.75,85.31
25,B&B Realty Ltd,Mayapuri & Wazirpur,26.465369,90.561222,4.0,62.5,67.25,43.0,76.05
26,Bafna Spinning Mills & Exports Ltd,Nagari,17.489008,78.607784,4.0,55.0,64.5,40.0,72.31
27,Bala Techno Synthetics Ltd,Tiljala,22.528826,88.382243,2.0,23.81,26.15,27.31,31.83
28,Bang Overseas Ltd,Moga,12.940998,78.172514,3.0,35.87,35.22,36.17,44.23
29,Bannari Amman Spinning Mills Ltd,Moga,12.940998,78.172514,3.0,36.79,33.5,33.48,43.88
30,Baroda Rayon Corpn. Ltd,Vadodara,22.310472,73.180837,3.0,38.53,26.41,28.73,43.19
31,Bengal Tea & Fabrics Ltd,Tiljala,22.528826,88.382243,3.0,15.37,50.79,11.7,51.67
32,Bhandari Hosiery Exports Ltd,Kartarpur,31.433937,75.492146,4.0,56.88,57.5,60.5,73.42
33,Bhandari Udhyog Ltd,Nashik,21.177136,79.660642,2.0,28.52,37.57,18.95,40.94
34,Bhilwara Spinners Ltd,Shahdara,25.700422,74.056609,3.0,13.48,50.12,18.85,51.39
35,Bhilwara Tex-Fin Ltd,Shahdara,25.700422,74.056609,3.0,26.39,53.94,25.6,57.06
36,Bholanath International Ltd,Alang,21.415163,72.16768,3.0,14.18,44.43,18.54,45.89
37,Bijlee Textiles Ltd,Moga,12.940998,78.172514,3.0,40.34,34.99,13.14,43.08
38,Binayak Tex Processors Ltd,Ventimalta,19.255014,72.984172,4.0,30.75,57.5,40.5,62.79
39,Birla Cotsyn (India) Ltd,Ventimalta,19.255014,72.984172,2.0,31.11,29.46,27.46,36.68
40,Black Rose Inds. Ltd,Ahmedabad,23.018652,72.597713,4.0,51.0,64.5,43.0,72.29
41,Blue Chip Tex Inds. Ltd,Morvi & Wankaner,22.816253,70.828662,4.0,51.0,64.5,43.0,72.29
42,Bombay Burmah Trdg. Corpn. Ltd.,Ventimalta,19.255014,72.984172,4.0,49.75,60.5,46.0,69.54
43,Bombay Rayon Fashions Limited,Ventimalta,19.255014,72.984172,3.0,12.21,43.04,32.4,45.29
44,BSL Ltd,Shahdara,25.700422,74.056609,4.0,51.0,64.5,43.0,72.29
45,Ceenik Exports (India) Ltd,Machilipatnam,16.18113,81.130274,4.0,51.0,64.5,43.0,72.29
46,Ceeta Industries Ltd,Tiljala,22.528826,88.382243,3.0,15.01,54.55,32.3,56.75
47,Century Enka Limited,Alang,21.415163,72.16768,2.0,31.24,31.65,12.15,34.24
48,Century Textiles & Industries. Ltd.,Pithampur,22.608116,75.684122,2.0,31.52,32.29,13.52,35.17
49,Chandni Textiles Ltd,Metiaburuj Ward No. 138 to 141,28.565441,77.337149,3.0,26.03,40.59,16.43,43.13
50,Cheviot Company Ltd,Tiljala,22.528826,88.382243,2.0,22.9,29.88,21.6,33.35
51,Consolidated Fibres & Chemicals Ltd,Aligarh,25.965111,76.086335,2.0,28.26,34.26,10.61,36.23
52,DCM Ltd.,Metiaburuj Ward No. 138 to 141,28.565441,77.337149,4.0,46.0,67.5,40.5,73.55
53,Deepak Spinners Ltd,Ambala,30.357783,76.801408,3.0,31.69,51.69,29.64,56.23
54,Dhanlaxmi Cotex Ltd,Morvi & Wankaner,22.816253,70.828662,3.0,31.85,39.52,33.41,45.96
55,Dhar Textile Mills Ltd,Pithampur,22.608116,75.684122,3.0,29.18,40.46,9.32,42.08
56,Donear Industries Ltd,Alang,21.415163,72.16768,3.0,40.36,31.2,37.17,47.28
57,Eastern Silk Inds. Ltd.,Mysore,12.31043,76.634771,4.0,46.0,67.5,40.5,73.55
58,Enterprise International Ltd,Pithampur,22.608116,75.684122,4.0,47.0,66.0,43.0,72.87
59,Eskay K'N'It (India) Ltd,Adityapur,13.27106,76.71898,3.0,24.11,49.26,23.24,52.1
60,Everlon Synthetics Ltd,West Godavari,28.628375,77.074996,3.0,39.67,30.6,9.25,41.38
61,Evinix Accessories Ltd,Ventimalta,19.255014,72.984172,3.0,34.42,45.97,11.87,48.18
62,Fairdeal Filaments Ltd,Ventimalta,19.255014,72.984172,2.0,19.52,36.79,11.27,38.18
63,Faze Three Ltd,Tarapur,19.859874,72.682362,3.0,17.39,54.15,34.88,56.93
64,Filaments India Ltd,Ventimalta,19.255014,72.984172,3.0,29.88,29.52,37.42,42.94
65,Filatex Fashions Ltd,Alang,21.415163,72.16768,3.0,36.67,54.67,8.85,56.14
66,Filatex India Ltd,Metiaburuj Ward No. 138 to 141,28.565441,77.337149,2.0,18.04,32.02,18.96,34.34
67,First Winner Industries Ltd,Ventimalta,19.255014,72.984172,4.0,51.0,64.5,43.0,72.29
68,Futura Polyesters Ltd,Alang,21.415163,72.16768,4.0,51.0,64.5,43.0,72.29
69,Ganesh Polytex Ltd,Alang,21.415163,72.16768,4.0,51.75,79.5,54.75,85.31
70,Garden Silk Mills Limited,Alang,21.415163,72.16768,4.0,51.0,64.5,43.0,72.29
71,Garlon Polyfab Inds. Ltd,Ambala,30.357783,76.801408,2.0,18.04,34.01,32.82,37.92
72,Garware Synthetics Ltd,Bhiwani,18.85082,73.88198,4.0,46.0,67.5,40.5,73.55
